rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,1.0,24,0.02,0.2,24,0.2,2,38,47.37,1.87,0.071,0.06,1.25,3.54,42.28,22.61,9.32,68.42,0.0776,1.192,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,216.51
1.4,1.0,24,0.02,0.25,24,0.2,3,37,48.65,1.86,0.066,0.056,1.08,3.35,40.21,22.9,9.04,67.57,0.0894,1.206,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,216.43
1.4,1.0,24,0.02,0.3,24,0.2,3,37,48.65,1.86,0.066,0.056,1.08,3.35,40.21,22.9,9.04,67.57,0.0894,1.206,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,216.43
1.5,1.0,24,0.02,0.2,24,0.15,2,39,46.15,1.866,0.072,0.062,1.26,3.53,42.28,21.46,9.06,69.23,0.0741,1.188,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,215.91
1.4,1.0,24,0.02,0.25,24,0.15,3,38,47.37,1.856,0.067,0.058,1.09,3.34,40.21,21.67,8.78,68.42,0.0853,1.205,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,215.83
1.4,1.0,24,0.02,0.3,24,0.15,3,38,47.37,1.856,0.067,0.058,1.09,3.34,40.21,21.67,8.78,68.42,0.0853,1.205,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,215.83
1.25,1.2,24,0.02,0.2,24,0.2,2,38,52.63,1.853,0.07,0.058,1.21,3.47,37.7,22.61,9.13,71.05,0.0787,1.21,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.82
1.25,1.2,24,0.02,0.3,20,0.2,3,45,55.56,1.806,0.087,0.078,1.14,3.85,34.52,23.89,8.56,73.33,0.1172,1.21,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.67
1.25,0.8,24,0.02,0.25,24,0.15,3,38,44.74,1.988,0.069,0.058,1.05,3.34,39.54,21.13,8.79,60.53,0.0378,1.332,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,214.65
1.25,0.8,24,0.02,0.3,24,0.15,3,38,44.74,1.988,0.069,0.058,1.05,3.34,39.54,21.13,8.79,60.53,0.0378,1.332,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,214.65
1.25,0.8,24,0.02,0.25,24,0.2,3,37,45.95,1.988,0.067,0.055,1.05,3.34,39.54,21.13,9.03,62.16,0.0378,1.327,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.63
1.25,0.8,24,0.02,0.3,24,0.2,3,37,45.95,1.988,0.067,0.055,1.05,3.34,39.54,21.13,9.03,62.16,0.0378,1.327,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.63
1.5,1.0,24,0.02,0.25,24,0.2,2,38,47.37,1.855,0.071,0.06,1.25,3.48,41.94,22.61,9.16,68.42,0.0731,1.168,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.51
1.5,1.0,24,0.02,0.3,24,0.2,2,38,47.37,1.855,0.071,0.06,1.25,3.48,41.94,22.61,9.16,68.42,0.0731,1.168,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.51
1.25,1.2,24,0.02,0.3,20,0.15,3,46,54.35,1.803,0.089,0.082,1.15,3.84,34.52,22.79,8.36,73.91,0.1133,1.101,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.29
1.25,0.8,24,0.02,0.3,20,0.15,2,47,46.81,1.825,0.085,0.078,1.21,3.64,36.61,22.07,7.75,65.96,0.0792,1.124,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.27
1.25,1.2,24,0.02,0.2,24,0.15,2,39,51.28,1.849,0.072,0.061,1.22,3.46,37.7,21.46,8.88,71.79,0.0753,1.206,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.24
1.5,0.8,24,0.02,0.2,20,0.15,3,47,46.81,1.87,0.069,0.062,1.75,4.12,40.26,23.68,8.77,63.83,0.0882,1.59,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.15
1.25,0.8,24,0.02,0.3,20,0.2,2,46,47.83,1.825,0.083,0.075,1.21,3.64,36.61,22.07,7.91,67.39,0.0792,1.124,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,214.09
1.5,0.8,24,0.02,0.2,20,0.2,3,46,47.83,1.87,0.068,0.059,1.75,4.12,40.26,23.68,8.96,65.22,0.0882,1.59,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,214.03
1.5,0.8,24,0.02,0.2,24,0.1,3,39,43.59,1.893,0.076,0.067,1.54,3.48,43.44,22.94,8.93,61.54,0.0795,1.182,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,214.0
1.5,1.0,24,0.02,0.25,24,0.15,2,39,46.15,1.851,0.072,0.062,1.26,3.47,41.94,21.46,8.9,69.23,0.0697,1.165,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,213.91
1.5,1.0,24,0.02,0.3,24,0.15,2,39,46.15,1.851,0.072,0.062,1.26,3.47,41.94,21.46,8.9,69.23,0.0697,1.165,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,213.91
1.25,1.2,24,0.02,0.25,24,0.2,2,38,52.63,1.838,0.07,0.058,1.21,3.41,37.39,22.61,8.97,71.05,0.0743,1.187,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,212.82
1.25,1.2,24,0.02,0.3,24,0.2,2,38,52.63,1.838,0.07,0.058,1.21,3.41,37.39,22.61,8.97,71.05,0.0743,1.187,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,212.82
1.5,0.8,24,0.02,0.2,20,0.15,2,48,45.83,1.849,0.068,0.061,1.75,4.15,41.11,23.29,8.65,64.58,0.0873,1.57,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,212.4
1.5,0.8,24,0.02,0.2,20,0.2,2,47,46.81,1.849,0.067,0.058,1.75,4.15,41.11,23.29,8.84,65.96,0.0873,1.566,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,212.28
